Run,n_estimators,max_depth,min_samples_split,min_samples_leaf,Dataset,MAE,RMSE,Rý
1,100,None,2,1,Hampel,401.314535,725.172981,0.778759
1,100,None,2,1,Reversal,403.74596,723.88565,0.779678
1,100,None,2,1,Rolling,372.023269,664.102717,0.808037
2,200,None,2,1,Hampel,399.040633,723.436428,0.779817
2,200,None,2,1,Reversal,402.769352,722.191226,0.780708
2,200,None,2,1,Rolling,371.380831,663.679158,0.808282
3,100,10,2,1,Hampel,402.176335,718.918568,0.782559
3,100,10,2,1,Reversal,405.250596,716.879434,0.783922
3,100,10,2,1,Rolling,380.249636,662.546764,0.808936
4,200,10,2,1,Hampel,401.193605,717.604962,0.783353
4,200,10,2,1,Reversal,404.560945,716.451719,0.78418
4,200,10,2,1,Rolling,379.859673,662.844714,0.808764
5,100,20,4,2,Hampel,394.282175,711.656572,0.786929
5,100,20,4,2,Reversal,395.682021,705.651445,0.790637
5,100,20,4,2,Rolling,367.175791,651.240956,0.815401
6,200,20,4,2,Hampel,393.081672,709.654978,0.788126
6,200,20,4,2,Reversal,395.892466,706.986388,0.789844
6,200,20,4,2,Rolling,365.818106,650.003693,0.816101
